wikidata_id,instance_of,admin_unit,area,capital,coordinates,population,subdivision,flag_info,flag_image,coat_of_arms_info,coat_of_arms_image,map_image,insignia,postal_code,first_written_record,inception,abolition,partner_cities,gnd,geonames_id,openstreetmap_rel_id,openstreetmap_node_id,district_key,regional_key,label_de,label_en,label_fr,desc_de,desc_en,desc_fr,sitelink_de,sitelink_en,sitelink_fr,bundesland,type
Q7042,"Q134626, Q253030, Q42744322, Q85631896","Q10555, Q1423123 (1808-10-01T00:00:00Z - 1810-10-31T00:00:00Z)","0.75 (1808-01-01T00:00:00Z), 50.13 (2017-12-31T00:00:00Z), 5007 (1987-05-25T00:00:00Z)",None,Point(11.848333333 49.444444444),"41970 (2019-09-30T00:00:00Z), 48277 (1970-05-27T00:00:00Z), 48277 (1978-05-01T00:00:00Z), 41592 (2013-12-31T00:00:00Z), 41578 (2012-12-31T00:00:00Z), 26330 (1925-06-16T00:00:00Z), 46934 (1975-12-31T00:00:00Z), 41535 (2014-12-31T00:00:00Z), 43755 (2010-01-01T00:00:00Z), 42248 (2017-12-31T00:00:00Z), 42348 (2016-12-31T00:00:00Z), 8889 (1808-01-01T00:00:00Z), 41861 (2015-12-31T00:00:00Z), 43794 (2000-01-01T00:00:00Z), 42570 (1987-05-25T00:00:00Z), 37920 (1950-09-13T00:00:00Z), 41994 (2021-12-31T00:00:00Z), 42534 (2022-12-31T00:00:00Z), 42676 (2023-12-31T00:00:00Z)","Q1491269, Q2127624",None,http://commons.wikimedia.org/wiki/Special:FilePath/Flagge%20Amberg.svg,None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Amberg%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Locator%20map%20AM%20in%20Bavaria.svg,AM,92224,1034-01-01T00:00:00Z,None,None,"Q1021, Q6588, Q14819, Q104577, Q207467, Q330409, Q426807, Q504780, Q506887, Q991022, Q999210, Q2463033",4001632-8,6556610,62772,240071747,09361,093610000000,Amberg,Amberg,Amberg,"kreisfreie Stadt im Regierungsbezirk Oberpfalz, Bayern, Deutschland","town in Bavaria, Germany",ville d'Allemagne,https://de.wikipedia.org/wiki/Amberg,https://en.wikipedia.org/wiki/Amberg,https://fr.wikipedia.org/wiki/Amberg,Bayern,kreisfreie_stadt
Q14859,"Q134626, Q42744322, Q85631896","Q10551 (1838-01-01T00:00:00Z), Q42199 (1398-01-01T00:00:00Z - 1420-01-01T00:00:00Z), Q42199 (1440-01-01T00:00:00Z - 1792-01-01T00:00:00Z)","99.91 (2017-12-31T00:00:00Z), 99.92",None,Point(10.583333333 49.3),"39684 (2012-12-31T00:00:00Z), 41159 (2015-12-31T00:00:00Z), 40010 (2014-12-31T00:00:00Z), 41652 (2017-12-31T00:00:00Z), 41847 (2019-09-30T00:00:00Z), 41847 (2019-10-31T00:00:00Z), 40358 (1970-05-27T00:00:00Z), 36970 (1987-05-25T00:00:00Z), 39117 (1975-12-31T00:00:00Z), 41532 (2016-12-31T00:00:00Z), 33891 (1950-09-13T00:00:00Z), 21923 (1925-06-16T00:00:00Z), 39839 (2013-12-31T00:00:00Z), 41662 (2021-12-31T00:00:00Z), 42221 (2022-12-31T00:00:00Z), 42311 (2023-12-31T00:00:00Z)",None,None,None,None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Ansbach%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20AN%20%28town%29.svg,AN,91522,1221-01-01T00:00:00Z,None,None,"Q13139, Q191765, Q746820",4002170-1,6556829,62654,31015267,09561,095610000000,Ansbach,Ansbach,Ansbach,"Bezirkshauptstadt Mittelfrankens, Bayern, Deutschland","town in Bavaria, Germany",ville allemande,https://de.wikipedia.org/wiki/Ansbach,https://en.wikipedia.org/wiki/Ansbach,https://fr.wikipedia.org/wiki/Ansbach,Bayern,kreisfreie_stadt
Q3942,"Q134626, Q42744322, Q85631896",Q10547,"62.45 (2017-12-31T00:00:00Z), 62.57",None,"Point(9.14778 49.96694), Point(9.1478 49.97575)","6590 (1812-01-01T00:00:00Z), 1526 (1668-01-01T00:00:00Z), 70527 (2019-09-30T00:00:00Z), 70527 (2019-10-31T00:00:00Z), 55398 (1975-12-31T00:00:00Z), 68678 (2010-01-01T00:00:00Z), 69187 (2016-12-31T00:00:00Z), 3300 (1792-01-01T00:00:00Z), 29892 (1910-12-01T00:00:00Z), 67681 (2012-12-31T00:00:00Z), 59240 (1985-12-31T00:00:00Z), 69928 (2017-12-31T00:00:00Z), 67844 (2013-12-31T00:00:00Z), 68167 (2014-12-31T00:00:00Z), 32199 (1919-10-08T00:00:00Z), 45379 (1939-05-17T00:00:00Z), 45499 (1950-09-13T00:00:00Z), 55580 (1965-12-31T00:00:00Z), 68986 (2015-12-31T00:00:00Z), 34056 (1925-06-16T00:00:00Z), 60964 (1987-05-25T00:00:00Z), 18093 (1900-12-01T00:00:00Z), 59838 (1970-05-27T00:00:00Z), 30861 (1945-12-31T00:00:00Z), 71381 (2021-12-31T00:00:00Z), 72444 (2022-12-31T00:00:00Z), 72918 (2023-12-31T00:00:00Z)","Q298810, Q1158603, Q1491239, Q1695118, Q1992170, Q2010477, Q2010481, Q2255724, Q2356208",None,http://commons.wikimedia.org/wiki/Special:FilePath/Flagge%20Aschaffenburg.svg,None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Aschaffenburg%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20AB%20%28town%29.svg,AB,63739–63743,None,None,None,"Q102397, Q185075, Q203000",4003191-3,"6556940, 3220890",62532,240047795,09661,096610000000,Aschaffenburg,Aschaffenburg,Aschaffenbourg,"kreisfreie Stadt in Bayern, Deutschland","town in Bavaria, Germany",ville de Bavière,https://de.wikipedia.org/wiki/Aschaffenburg,https://en.wikipedia.org/wiki/Aschaffenburg,https://fr.wikipedia.org/wiki/Aschaffenbourg,Bayern,kreisfreie_stadt
Q2749,"Q1187811, Q134626, Q1547289, Q1549591 (1909-01-01T00:00:00Z), Q19953632 (1276-01-01T00:00:00Z - 1803-01-01T00:00:00Z), Q253030, Q42744322, Q57318 (1276-01-01T00:00:00Z - 1805-01-01T00:00:00Z), Q85631896","Q10557, Q1669636 (1808-10-01T00:00:00Z - 1810-10-31T00:00:00Z), Q760200 (1810-11-01T00:00:00Z - 1837-12-31T00:00:00Z)","0.5 (1808-01-01T00:00:00Z), 146.87 (2016-01-01T00:00:00Z), 146.87 (2017-12-31T00:00:00Z), 146.93",None,Point(10.897777777 48.368888888),"292851 (2017-12-31T00:00:00Z), 263313 (2008-12-31T00:00:00Z), 264708 (2010-12-31T00:00:00Z), 283544 (2014-12-31T00:00:00Z), 295830 (2021-09-30T00:00:00Z), 289584 (2016-12-31T00:00:00Z), 288631 (2015-12-31T00:00:00Z), 281111 (2014-12-31T00:00:00Z), 272699 (2012-12-31T00:00:00Z), 286374 (2015-12-31T00:00:00Z), 263646 (2009-12-31T00:00:00Z), 254223 (1970-05-27T00:00:00Z), 249943 (1975-12-31T00:00:00Z), 28902 (1808-01-01T00:00:00Z), 165522 (1925-06-16T00:00:00Z), 185177 (1950-09-13T00:00:00Z), 295135 (2019-09-30T00:00:00Z), 295135 (2019-10-31T00:00:00Z), 242819 (1987-05-25T00:00:00Z), 276542 (2013-12-31T00:00:00Z), 269402 (2011-12-31T00:00:00Z), 296478 (2021-12-31T00:00:00Z), 301033 (2022-12-31T00:00:00Z), 262000 (1997-01-01T00:00:00Z), 264800 (1994-01-01T00:00:00Z), 210500 (1968-01-01T00:00:00Z), 244000 (1985-01-01T00:00:00Z), 300000 (2019-01-01T00:00:00Z), 303150 (2023-12-31T00:00:00Z)","Q760462, Q760467, Q760472, Q760474, Q760475, Q760476, Q760477, Q760478, Q760480, Q760481, Q760484, Q760487, Q760488, Q760496, Q760497, Q760501, Q760506",None,"http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Augsburg%20Flag.svg, http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Augsburg%20Banner.svg",None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Augsburg%20COA%201811.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20A%20%28town%29.svg,A,"86167, 86161, 86156, 86153, 86154, 86169, 86199, 86163, 86179, 86159, 86150, 86152, 86165, 86157",None,-0014-01-01T00:00:00Z,None,"Q10086, Q34739, Q132404, Q146351, Q160493, Q170247, Q174091, Q213318, Q844130, Q3031572",4003614-5,6557107,62407,1559853166,09761,097610000000,Augsburg,Augsburg,Augsbourg,"kreisfreie Großstadt in Bayern, Deutschland","city in Bavaria, Germany",ville d'Allemagne,https://de.wikipedia.org/wiki/Augsburg,https://en.wikipedia.org/wiki/Augsburg,https://fr.wikipedia.org/wiki/Augsbourg,Bayern,kreisfreie_stadt
Q4100,"Q2327515, Q42744322, Q4946461, Q6882870","Q186320 (1806-01-01T00:00:00Z - 1918-01-01T00:00:00Z), Q560771 (1535-01-01T00:00:00Z - 1771-01-01T00:00:00Z), Q637238 (1803-04-27T00:00:00Z - 1806-01-01T00:00:00Z), Q650489, Q690821 (1918-01-01T00:00:00Z - 1945-01-01T00:00:00Z), Q8165 (1952-01-01T00:00:00Z)","140.17 (1990-01-01T00:00:00Z), 140.18 (1994-01-01T00:00:00Z), 140.18 (1998-01-01T00:00:00Z), 140.19 (1992-01-01T00:00:00Z), 140.19 (1997-01-01T00:00:00Z), 140.19 (2017-12-31T00:00:00Z), 140.21 (1961-01-01T00:00:00Z), 140.21 (1975-01-01T00:00:00Z), 140.21 (2009-01-01T00:00:00Z), 140.21 (2015-12-31T00:00:00Z), 140.22 (1965-01-01T00:00:00Z)",None,Point(8.240833333 48.761944444),"54445 (2010-01-01T00:00:00Z), 54777 (2008-01-01T00:00:00Z), 52995 (1996-01-01T00:00:00Z), 53342 (2014-01-01T00:00:00Z), 52199 (1967-01-01T00:00:00Z), 54581 (2005-12-31T00:00:00Z), 49059 (1981-01-01T00:00:00Z), 48886 (1982-01-01T00:00:00Z), 48848 (1983-01-01T00:00:00Z), 52546 (1998-01-01T00:00:00Z), 52007 (1964-01-01T00:00:00Z), 54494 (2009-01-01T00:00:00Z), 52524 (1991-01-01T00:00:00Z), 53084 (2001-01-01T00:00:00Z), 52451 (1966-01-01T00:00:00Z), 49718 (1975-01-01T00:00:00Z), 49718 (1975-12-31T00:00:00Z), 52570 (1994-01-01T00:00:00Z), 54853 (2007-01-01T00:00:00Z), 48959 (1977-01-01T00:00:00Z), 52033 (1963-01-01T00:00:00Z), 53012 (2013-12-31T00:00:00Z), 49399 (1979-01-01T00:00:00Z), 54855 (2006-01-01T00:00:00Z), 51085 (1989-01-01T00:00:00Z), 52844 (1992-01-01T00:00:00Z), 49257 (1986-01-01T00:00:00Z), 52148 (1965-01-01T00:00:00Z), 54307 (2016-12-31T00:00:00Z), 52672 (1997-01-01T00:00:00Z), 52712 (1993-01-01T00:00:00Z), 52424 (2011-01-01T00:00:00Z), 52358 (1968-01-01T00:00:00Z), 53938 (2003-01-01T00:00:00Z), 51089 (1972-01-01T00:00:00Z), 51849 (1990-12-31T00:00:00Z), 48684 (1985-01-01T00:00:00Z), 52585 (2012-01-01T00:00:00Z), 49200 (1978-01-01T00:00:00Z), 48622 (1984-01-01T00:00:00Z), 53643 (2002-01-01T00:00:00Z), 54301 (2004-01-01T00:00:00Z), 55449 (2021-09-30T00:00:00Z), 54718 (2017-12-31T00:00:00Z), 55123 (2019-10-31T00:00:00Z), 51545 (1970-01-01T00:00:00Z), 50679 (1973-01-01T00:00:00Z), 52627 (1999-01-01T00:00:00Z), 52745 (1995-12-31T00:00:00Z), 50761 (1988-01-01T00:00:00Z), 51304 (1971-01-01T00:00:00Z), 54160 (2015-12-31T00:00:00Z), 52766 (1969-01-01T00:00:00Z), 52729 (2000-12-31T00:00:00Z), 49142 (1980-01-01T00:00:00Z), 51706 (1962-01-01T00:00:00Z), 49159 (1976-01-01T00:00:00Z), 51544 (1961-01-01T00:00:00Z), 50201 (1974-01-01T00:00:00Z), 50127 (1987-01-01T00:00:00Z), 55527 (2021-12-31T00:00:00Z), 57025 (2022-12-31T00:00:00Z), 57420 (2023-12-31T00:00:00Z)","Q804923, Q896509, Q1279804, Q1486284, Q1982004, Q2024832, Q2221399, Q2339702, Q2510898",None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Baden-Baden%20Flag.svg,None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Baden-Baden%20COA%20crowned.svg,"http://commons.wikimedia.org/wiki/Special:FilePath/Baden-W%C3%BCrttemberg%20BAD.svg, http://commons.wikimedia.org/wiki/Special:FilePath/Locator%20map%20BAD%20in%20Germany.svg",BAD,"76530, 76531, 76532, 76533, 76534",None,None,None,"Q5870, Q9474, Q39420, Q128499, Q180083, Q183113, Q384544",4004169-4,2953504,62340,240099245,08211,082110000000,Baden-Baden,Baden-Baden,Baden-Baden,"Stadtkreis in Baden-Württemberg, Deutschland","town in Baden-Württemberg, Germany",ville d'Allemagne (Bade-Wurtemberg),https://de.wikipedia.org/wiki/Baden-Baden,https://en.wikipedia.org/wiki/Baden-Baden,https://fr.wikipedia.org/wiki/Baden-Baden,Baden-Württemberg,kreisfreie_stadt
Q3936,"Q1187811, Q134626, Q253030, Q42744322, Q702492, Q85631896","Q10554, Q1885638 (1808-10-01T00:00:00Z - 1810-10-31T00:00:00Z)","0.5 (1808-01-01T00:00:00Z), 54.62 (2017-12-31T00:00:00Z)",None,Point(10.891666666 49.891666666),"11500 (1599-01-01T00:00:00Z), 12000 (1618-01-01T00:00:00Z), 77449 (1970-05-27T00:00:00Z), 19385 (1808-01-01T00:00:00Z), 17095 (1811-01-01T00:00:00Z), 41823 (1900-12-01T00:00:00Z), 74236 (1975-12-31T00:00:00Z), 70063 (2006-06-30T00:00:00Z), 77179 (2017-12-31T00:00:00Z), 71952 (2014-12-31T00:00:00Z), 50152 (1925-06-16T00:00:00Z), 76180 (1950-09-13T00:00:00Z), 70863 (2012-12-31T00:00:00Z), 74115 (1961-06-06T00:00:00Z), 75743 (2016-12-31T00:00:00Z), 7000 (1648-01-01T00:00:00Z), 77592 (2019-09-30T00:00:00Z), 71167 (2013-12-31T00:00:00Z), 73331 (2015-12-31T00:00:00Z), 54161 (1933-06-16T00:00:00Z), 71465 (2014-12-31T00:00:00Z), 18600 (1830-06-01T00:00:00Z), 75193 (1945-12-31T00:00:00Z), 69100 (1987-05-25T00:00:00Z), 77749 (2021-12-31T00:00:00Z), 79935 (2022-12-31T00:00:00Z), 80580 (2023-12-31T00:00:00Z)","Q882218, Q1494687, Q2595004",None,http://commons.wikimedia.org/wiki/Special:FilePath/Flagge%20Bamberg.svg,None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Bamberg%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20BA%20%28town%29.svg,BA,"96001, 96052",None,None,None,"Q1085, Q48285, Q171353, Q188780, Q208257, Q483522, Q507533, Q540312, Q3461541",4004391-5,6556725,62525,1646638496,09461,094610000000,Bamberg,Bamberg,Bamberg,"kreisfreie Stadt in Bayern, Deutschland","town in Bavaria, Germany",ville d'Allemagne,https://de.wikipedia.org/wiki/Bamberg,https://en.wikipedia.org/wiki/Bamberg,https://fr.wikipedia.org/wiki/Bamberg,Bayern,kreisfreie_stadt
Q3923,"Q134626, Q42744322, Q85631896",Q10554,"66.89 (2017-12-31T00:00:00Z), 66.92",None,Point(11.578333333 49.948055555),"35306 (1925-06-16T00:00:00Z), 61835 (1961-06-06T00:00:00Z), 72683 (2010-01-01T00:00:00Z), 71601 (2014-12-31T00:00:00Z), 69813 (1987-05-25T00:00:00Z), 72148 (2015-12-31T00:00:00Z), 67035 (1975-12-31T00:00:00Z), 74153 (2000-12-31T00:00:00Z), 71572 (2013-12-31T00:00:00Z), 71482 (2012-12-31T00:00:00Z), 74657 (2019-09-30T00:00:00Z), 69212 (1970-05-27T00:00:00Z), 73065 (2016-12-31T00:00:00Z), 73999 (2017-12-31T00:00:00Z), 58800 (1950-09-13T00:00:00Z), 73909 (2021-12-31T00:00:00Z), 74506 (2022-12-31T00:00:00Z), 74907 (2023-12-31T00:00:00Z)","Q896879, Q1110137, Q1317405, Q1464357, Q1479923, Q1609864, Q1641648, Q1666778, Q1926351, Q2033131, Q2209305, Q15837271, Q15850685",None,http://commons.wikimedia.org/wiki/Special:FilePath/Flagge%20Bayreuth.svg,None,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20von%20Bayreuth.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Bavaria%20BT%20%28town%29.svg,BT,95401–95448,1194-01-01T00:00:00Z,None,None,"Q8611, Q50189, Q182009, Q517107",4005056-7,6556726,62640,21636385,09462,094620000000,Bayreuth,Bayreuth,Bayreuth,"kreisfreie Stadt in Bayern, Deutschland","medium-sized town in northern Bavaria, Germany",commune allemande,https://de.wikipedia.org/wiki/Bayreuth,https://en.wikipedia.org/wiki/Bayreuth,https://fr.wikipedia.org/wiki/Bayreuth,Bayern,kreisfreie_stadt
Q64,"Q114401982, Q1221156, Q1307779, Q133442, Q1549591, Q15974307, Q1901835 (1999-01-01T00:00:00Z), Q200250, Q257391, Q42744322, Q51929311, Q67123843 (1945-01-01T00:00:00Z - 1990-10-03T00:00:00Z), Q67123843 (1961-01-01T00:00:00Z - 1991-01-01T00:00:00Z), Q707813","Q148499 (1157-01-01T00:00:00Z - 1618-01-01T00:00:00Z), Q157367 (1618-01-01T00:00:00Z - 1701-01-01T00:00:00Z), Q161036 (1918-01-01T00:00:00Z - 1933-01-01T00:00:00Z), Q183 (1990-01-01T00:00:00Z), Q27306 (1701-01-01T00:00:00Z - 1815-01-01T00:00:00Z), Q27306 (1881-01-01T00:00:00Z - 1918-01-01T00:00:00Z), Q700264 (1815-01-01T00:00:00Z - 1881-01-01T00:00:00Z), Q7318 (1933-01-01T00:00:00Z - 1945-01-01T00:00:00Z)","891.12 (2016-01-01T00:00:00Z), 891.12 (2017-12-31T00:00:00Z), 891.69",None,Point(13.383333333 52.516666666),"3382169 (2000-12-31T00:00:00Z), 10000 (1680-01-01T00:00:00Z), 3274016 (1960-12-31T00:00:00Z), 219968 (1825-01-01T00:00:00Z), 3879409 (1920-12-31T00:00:00Z), 3644826 (2018-12-31T00:00:00Z), 7000 (1450-01-01T00:00:00Z), 3433695 (1990-12-31T00:00:00Z), 12000 (1576-01-01T00:00:00Z), 3375222 (2012-12-31T00:00:00Z), 4330810 (1940-12-31T00:00:00Z), 1888848 (1900-12-31T00:00:00Z), 4332834 (1930-12-31T00:00:00Z), 3664088 (2021-09-30T00:00:00Z), 401972 (1852-01-01T00:00:00Z), 2071257 (1910-12-31T00:00:00Z), 3208719 (1970-12-31T00:00:00Z), 3326002 (2011-12-31T00:00:00Z), 3677472 (2022-09-30T00:00:00Z), 172132 (1800-01-01T00:00:00Z), 7500 (1640-01-01T00:00:00Z), 136137 (1775-01-01T00:00:00Z), 8100 (1631-01-01T00:00:00Z), 3574830 (2016-12-31T00:00:00Z), 3613495 (2017-12-31T00:00:00Z), 6000 (1648-01-01T00:00:00Z), 7000 (1307-01-01T00:00:00Z), 172988 (1801-01-01T00:00:00Z), 3469849 (2014-12-31T00:00:00Z), 8500 (1400-01-01T00:00:00Z), 1200 (1250-01-01T00:00:00Z), 3644826 (2019-09-30T00:00:00Z), 17000 (1685-01-01T00:00:00Z), 3490105 (2015-01-01T00:00:00Z), 3336026 (1950-12-31T00:00:00Z), 9000 (1600-01-01T00:00:00Z), 3048759 (1980-12-31T00:00:00Z), 3611222 (2017-11-30T00:00:00Z), 19000 (1688-01-01T00:00:00Z), 113289 (1750-01-01T00:00:00Z), 3677472 (2021-12-31T00:00:00Z), 3755251 (2022-12-31T00:00:00Z), 3782202 (2023-12-31T00:00:00Z)","Q119284, Q158064, Q158083, Q158089, Q158095, Q158106, Q158876, Q158893, Q163012, Q163966, Q329609, Q4071168",Q819691,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Berlin.svg,None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Berlin%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Locator%20map%20Berlin%20in%20Germany.svg,B,10115–14199,"1237-01-01T00:00:00Z, 1244-01-01T00:00:00Z",1244-01-01T00:00:00Z,None,Q1899,4005728-8,"2950159, 2950157, 6547383, 6547539",62422,240109189,11000,110000000000,Berlin,Berlin,Berlin,Hauptstadt und bevölkerungsreichste Stadt sowie Land der Bundesrepublik Deutschland,"federated state, capital and largest city of Germany","Land, plus grande ville et capitale de l'Allemagne",https://de.wikipedia.org/wiki/Berlin,https://en.wikipedia.org/wiki/Berlin,https://fr.wikipedia.org/wiki/Berlin,Berlin,kreisfreie_stadt
Q2112,"Q1187811, Q1549591, Q1964689, Q42744322, Q707813, Q85635630",Q7923,"258.82 (2016-01-01T00:00:00Z), 258.82 (2017-12-31T00:00:00Z)",None,Point(8.533333333 52.016666666),"332552 (2017-12-31T00:00:00Z), 169134 (1970-12-31T00:00:00Z), 319037 (1990-12-31T00:00:00Z), 339842 (2019-12-31T00:00:00Z), 333786 (2019-09-30T00:00:00Z), 333786 (2018-12-31T00:00:00Z), 333451 (2016-12-31T00:00:00Z), 323270 (2010-12-31T00:00:00Z), 328314 (2012-12-31T00:00:00Z), 321758 (2000-12-31T00:00:00Z), 175076 (1960-12-31T00:00:00Z), 316058 (1975-12-31T00:00:00Z), 328864 (2013-12-31T00:00:00Z), 312708 (1980-12-31T00:00:00Z), 327199 (2011-12-31T00:00:00Z), 333509 (2021-09-30T00:00:00Z), 334002 (2021-12-31T00:00:00Z), 338332 (2022-12-31T00:00:00Z), 338410 (2023-12-31T00:00:00Z)","Q630083, Q857314, Q884493, Q1457938, Q1490832, Q1593495, Q1715175, Q2235530, Q2271193, Q2348419",None,http://commons.wikimedia.org/wiki/Special:FilePath/Hissflagge%20Bielefeld.svg,None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Bielefeld%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/North%20rhine%20w%20BI.svg,BI,33602–33739,1214-01-01T00:00:00Z,1214-01-01T00:00:00Z,None,"Q598, Q2235, Q17393, Q167749, Q207614, Q474605, Q990109, Q1007634",4006510-8,3221125,62646,240037709,05711,057110000000,Bielefeld,Bielefeld,Bielefeld,"Großstadt in Nordrhein-Westfalen, Deutschland",city in Germany,commune allemande,https://de.wikipedia.org/wiki/Bielefeld,https://en.wikipedia.org/wiki/Bielefeld,https://fr.wikipedia.org/wiki/Bielefeld,Nordrhein-Westfalen,kreisfreie_stadt
Q2103,"Q1187811, Q1549591, Q253030, Q42744322, Q707813, Q85635630",Q7924,"145.66 (2016-01-01T00:00:00Z), 145.66 (2017-12-31T00:00:00Z)",None,Point(7.216666666 51.483333333),"400757 (1980-12-31T00:00:00Z), 373976 (2011-12-31T00:00:00Z), 365529 (2017-12-31T00:00:00Z), 361734 (2013-12-31T00:00:00Z), 364628 (2019-09-30T00:00:00Z), 414842 (1975-12-31T00:00:00Z), 364628 (2018-12-31T00:00:00Z), 341935 (1970-12-31T00:00:00Z), 374737 (2010-12-31T00:00:00Z), 364454 (2021-09-30T00:00:00Z), 396486 (1990-12-31T00:00:00Z), 362213 (2012-12-31T00:00:00Z), 364920 (2016-12-31T00:00:00Z), 391147 (2000-12-31T00:00:00Z), 363441 (2021-12-31T00:00:00Z), 365742 (2022-12-31T00:00:00Z), 366385 (2023-12-31T00:00:00Z)","Q492224, Q2662781",None,"http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Bochum%20Flag%20%28v%29.svg, http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Bochum%20Flag%20%28v%20COA%29.svg, http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Bochum%20Flag.svg",None,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Bochum%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/North%20rhine%20w%20BO.svg,BO,44701–44894,0890-01-01T00:00:00Z,None,None,"Q7033, Q14317, Q42448, Q43070, Q57719, Q273863",4007328-2,3221109,62644,None,05911,059110000000,Bochum,Bochum,Bochum,"kreisfreie Großstadt im Regierungsbezirk Arnsberg in Nordrhein-Westfalen, Deutschland","city in North Rhine-Westphalia, Germany",ville d'Allemagne,https://de.wikipedia.org/wiki/Bochum,https://en.wikipedia.org/wiki/Bochum,https://fr.wikipedia.org/wiki/Bochum,Nordrhein-Westfalen,kreisfreie_stadt
