wikidata_id,instance_of,admin_unit,coordinates,population,subdivisions,area,capital,flag_info,flag_image,coat_of_arms_info,coat_of_arms_image,map_image,insignia,postal_code,inception,abolition,partner_cities,gnd,geonames_id,openstreetmap_rel_id,openstreetmap_node_id,label_de,label_en,label_fr,desc_de,desc_en,desc_fr,sitelink_de,sitelink_en,sitelink_fr,bundesland
Q1250365,Q106658,Q985,Point(8.91667 48.25),,NULL,478,Q16015,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Landkreis%20Balingen.png,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-BL.png,NULL,NULL,1938-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,NULL,NULL,NULL,NULL,Landkreis Balingen,Balingen,arrondissement de Balingen,ehemaliger Landkreis in Baden-Württemberg,former rural district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_Balingen,NULL,NULL,Baden-Württemberg
Q1534888,Q106658,Q985,Point(8.91667 48.3333),,NULL,412,Q494529,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Landkreis%20Hechingen.svg,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-HCH.png,NULL,NULL,1925-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,NULL,NULL,NULL,NULL,Landkreis Hechingen,NULL,arrondissement de Hechingen,ehemaliger Landkreis in Baden-Württemberg,former rural district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_Hechingen,NULL,NULL,Baden-Württemberg
Q1542918,Q106658,"Q1802309, Q985",Point(8.08333 48.6667),,NULL,379,Q505534,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Landkreis%20Buehl.png,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-BH.png,NULL,NULL,NULL,1972-12-31T00:00:00Z,NULL,NULL,NULL,6148105,NULL,Landkreis Bühl,Bühl,arrondissement de Bühl,ehemaliger Landkreis in Baden-Württemberg,former rural district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_B%C3%BChl,NULL,NULL,Baden-Württemberg
Q1549097,Q106658,Q985,Point(9.66667 49.3333),,NULL,342,Q545177,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Landkreis%20Kuenzelsau.png,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-KUEN.png,NULL,NULL,1938-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,NULL,NULL,NULL,NULL,Landkreis Künzelsau,Künzelsau,arrondissement de Künzelsau,ehemaliger Landkreis in Baden-Württemberg,former rural district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_K%C3%BCnzelsau,NULL,NULL,Baden-Württemberg
Q1622452,Q106658,Q985,Point(8.0 48.5),,NULL,467,Q4044,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Ortenaukreis%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-OG.png,NULL,NULL,1938-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,NULL,NULL,6150057,NULL,Landkreis Offenburg,Offenburg,arrondissement d'Offenburg,ehemaliger Landkreis in Baden-Württemberg,former rural district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_Offenburg,NULL,NULL,Baden-Württemberg
Q1658632,Q106658,Q985,Point(8.75 49.3333),,NULL,487,Q2966,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/COA%20Landkreis%20Heidelberg.svg,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-HD.png,NULL,NULL,1938-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,NULL,NULL,NULL,NULL,Landkreis Heidelberg,Heidelberg,arrondissement de Heidelberg,ehemaliger Landkreis in Baden-Württemberg,former district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_Heidelberg,NULL,NULL,Baden-Württemberg
Q1803068,Q106658,"Q251660 (1945-09-19T00:00:00Z - 1952-04-25T00:00:00Z), Q569871, Q985 (1952-04-25T00:00:00Z)",Point(9.5 49.0),,NULL,589,Q14947,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/DEU%20Landkreis%20Backnang%20COA.svg,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-BK.png,NULL,NULL,1938-10-01T00:00:00Z,1973-01-01T00:00:00Z,NULL,NULL,NULL,NULL,NULL,Landkreis Backnang,Backnang,arrondissement de Backnang,Landkreis in Deutschland,former district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_Backnang,NULL,NULL,Baden-Württemberg
Q1803117,Q106658,Q985,Point(10.0833 49.1667),,NULL,766,Q16048,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Landkreis%20Crailsheim.png,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-CR.png,NULL,NULL,1938-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,NULL,NULL,NULL,NULL,Landkreis Crailsheim,Crailsheim,arrondissement de Crailsheim,ehemaliger Landkreis in Baden-Württemberg,former district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_Crailsheim,NULL,NULL,Baden-Württemberg
Q1803138,Q106658,Q985,Point(9.71667 48.3),,NULL,508,Q158523,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Landkreis%20Ehingen.svg,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-EHI.png,NULL,NULL,1938-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,4092370-8,NULL,NULL,NULL,Landkreis Ehingen,Ehingen,arrondissement d'Ehingen,ehemaliger Landkreis in Baden-Württemberg,former district of Germany,NULL,https://de.wikipedia.org/wiki/Landkreis_Ehingen,NULL,NULL,Baden-Württemberg
Q1803231,Q106658,Q985,Point(8.66667 48.4167),,NULL,358,Q82690,NULL,NULL,NULL,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Landkreis%20Horb.svg,http://commons.wikimedia.org/wiki/Special:FilePath/BW-AlteLandkreise-HOR.png,NULL,NULL,1938-01-01T00:00:00Z,1972-01-01T00:00:00Z,NULL,NULL,NULL,NULL,NULL,Landkreis Horb,NULL,arrondissement de Horb,ehemaliger Landkreis in Baden-Württemberg,NULL,NULL,https://de.wikipedia.org/wiki/Landkreis_Horb,NULL,NULL,Baden-Württemberg
