Q510383,"Q15974311, Q4421","Q3000, Q479387",58.49 (2017-12-31T00:00:00Z),,Point(10.3731 53.5422),"0 (1975-12-31T00:00:00Z), 0 (2017-12-31T00:00:00Z)",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sachsenwald%20in%20RZ.svg,RZ,21521,,,,,4105163-4,2842497,324110,,,01053105,010539105105,Sachsenwald,Sachsenwald,Sachsenwald,gemeindefreies Gebiet in Schleswig-Holstein,"forest near Hamburg, Germany",,https://de.wikipedia.org/wiki/Sachsenwald,https://en.wikipedia.org/wiki/Sachsenwald,https://fr.wikipedia.org/wiki/Sachsenwald,Schleswig-Holstein,Kreis Herzogtum Lauenburg,None,
Q1408399,Q15974311,Q7896,50.32 (2017-12-31T00:00:00Z),,Point(9.7435 51.2832),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kaufunger%20Wald%20in%20ESW%20mit%20Labels.svg,,,,,,,,,943080,,,06636200,066369200200,Gutsbezirk Kaufunger Wald,Kaufunger Wald,,gemeindefreies Gebiet im Werra-Meißner-Kreis in Hessen,"unincorporated area in Werra-Meißner-Kreis in Hesse, Germany",,https://de.wikipedia.org/wiki/Gutsbezirk_Kaufunger_Wald,,,Hessen,Werra-Meißner-Kreis,None,
Q1931025,Q15974311,Q7917,4.88 (2017-12-31T00:00:00Z),,Point(8.862 49.434),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michelbuch%20in%20HP.svg,,,,,,,,2871334,544213,,,06431200,064319200200,Michelbuch,Michelbuch,Michelbuch,gemeindefreies Gebiet im hessischen Kreis Bergstraße,"unincorporated area in Kreis Bergstraße in Hesse, Germany",,https://de.wikipedia.org/wiki/Michelbuch_(gemeindefreies_Gebiet),,,Hessen,Landkreis Bergstraße,None,
Q875514,Q15974311,Q5913,"50.94, 52.11 (2017-12-31T00:00:00Z)",,Point(11.4218 52.9962),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gartow%20%28gemeindefreies%20Gebiet%29%20in%20DAN.svg,DAN,,,,,,,,1829045,,,03354501,033549501501,Gartow,Gartow,,unbewohntes gemeindefreies Gebiet im Landkreis Lüchow-Dannenberg,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Gartow_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Lüchow-Dannenberg,None,
Q622476,Q15974311,Q5919,"91.32, 91.48 (2017-12-31T00:00:00Z)",,Point(9.903611111 52.776388888),"761 (2016-12-31T00:00:00Z), 755 (2017-12-31T00:00:00Z)",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lohheide%20in%20CE.svg,CE,29303,,,,,,2876279,1799277,,,03351501,033519501501,Lohheide,Lohheide,Lohheide,gemeindefreies Gebiet im Landkreis Celle,unincorporated area in Germany,commune allemande,https://de.wikipedia.org/wiki/Lohheide,https://en.wikipedia.org/wiki/Lohheide,https://fr.wikipedia.org/wiki/Lohheide,Niedersachsen,Landkreis Celle,None,
Q17084353,Q15974311,Q5929,5.17 (2017-12-31T00:00:00Z),,Point(6.884166666 53.638055555),0 (2017-12-31T00:00:00Z),,,,,,,,,,,,,,,1176675,,,03452501,034529501501,Nordseeinsel Memmert,Nordseeinsel Memmert,,Gemeindefreies Gebiet im Landkreis Aurich,unincorporated area in Germany,,,,,Niedersachsen,Landkreis Aurich,None,
Q9175034,Q15974311,Q5973,23.36 (2017-12-31T00:00:00Z),,Point(9.43333 51.7333),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Boffzen%20%28gemeindefrei%29%20in%20HOL.svg,,,,,,,,,2016926,,,03255501,032559501501,Boffzen,Boffzen,Boffzen,Gemeindefreies Gebiet im Landkreis Holzminden,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Boffzen_(gemeindefreies_Gebiet),https://en.wikipedia.org/wiki/Boffzen_(unincorporated_area),,Niedersachsen,Landkreis Holzminden,None,
Q9254932,Q15974311,Q5973,4.9 (2017-12-31T00:00:00Z),,Point(9.683829 51.946388),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eschershausen%20%28gemeindefrei%29%20in%20HOL.svg,,,,,,,,,2016914,,,03255503,032559503503,Eschershausen,Eschershausen,,Gemeindefreies Gebiet im Landkreis Holzminden,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Eschershausen_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Holzminden,None,
Q9293422,Q15974311,Q5973,15.01 (2017-12-31T00:00:00Z),,Point(9.51667 51.8167),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Holzminden%20%28gemeindefrei%29%20in%20HOL.svg,,,,,,,,,2016898,,,03255505,032559505505,Holzminden,Holzminden,,Gemeindefreies Gebiet im Landkreis Holzminden,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Holzminden_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Holzminden,None,
Q11777516,Q15974311,Q5973,22.5 (2017-12-31T00:00:00Z),,Point(9.56667 51.8167),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Merxhausen%20%28gemeindefrei%29%20in%20HOL.svg,,,,,,,,,2016881,,,03255506,032559506506,Merxhausen,Merxhausen,Merxhausen,Gemeindefreies Gebiet im Landkreis Holzminden,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Merxhausen_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Holzminden,None,
Q820677,Q15974311,"Q6022 (2016-11-01T00:00:00Z), Q6037","267.35, 267.85 (2017-12-31T00:00:00Z)",,Point(10.4 51.7167),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Harz%20%28gemfr.%20Gebiet%29%20in%20G%C3%96-2016.svg,OHA,,,,,,,,1649194,,,03159501,031599501501,Harz,Harz,Harz,"gemeindefreies Gebiet im Landkreis Göttingen, Niedersachsen, Deutschland","unincorporated area in Göttingen district, Lower Saxony, Germany",,https://de.wikipedia.org/wiki/Harz_(Landkreis_G%C3%B6ttingen),https://en.wikipedia.org/wiki/Harz_(Landkreis_G%C3%B6ttingen),,Niedersachsen,Landkreis Göttingen,None,
