Q253019,Ortsteil,56184
Q79007,Innerortsstraße,48082
Q811979,Bauwerk,15285
Q3947,Haus,12582
Q1138414,Einzelsiedlung,8801
Q116457956,Gemeinde in Deutschland ohne Stadtrechte,8511
Q532,Dorf,7152
Q5084,Weiler,5682
Q473972,Schutzgebiet in Natur- oder Landschaftsschutz,5256
Q21503788,Landschaftsschutzgebiet,5112
Q26703203,Stolperstein,4490
Q41176,Gebäude,4199
Q1577547,Mietshaus,3631
Q1516079,Ensemble,3594
Q11755880,Wohngebäude,3584
Q16970,Kirche,3299
Q486972,Siedlung,3259
Q22969563,Bodendenkmal,2813
Q3950,Villa,2580
Q42744322,Stadt in Deutschland,1922
Q2175765,Straßenbahnhaltestelle,1915
Q1191622,FFH-Gebiet,1881
Q860861,Skulptur,1721
Q21573182,Naturdenkmal in Deutschland,1532
Q1493533,Pfarrdorf,1355
Q378636,Kirchdorf,1347
Q262166,Gemeinde in Deutschland,1334
Q123705,Ortsteil,1271
Q4022,Fluss,1079
Q19860854,abgegangenes Bauwerk,972
Q728937,Eisenbahnstrecke,962
Q39614,Friedhof,885
Q33506,Museum,880
Q7075,Bibliothek,851
Q19730508,ehemalige Gemeinde,847
Q1244442,Schulgebäude,840
Q1307347,Einfriedung,820
Q22698,Park,785
Q18760306,Wohn- und Geschäftshaus,783
Q174782,Platz,783
Q44613,Kloster,741
Q34442,Straße,734
Q759421,Naturschutzgebiet (Deutschland),731
Q55488,Bahnhof,705
Q445467,Naturwaldreservat,700
Q3914,Schule,698
Q23397,See,687
Q27686,Hotel,685
Q814254,Befund,679
Q537127,Straßenbrücke,650
Q4989906,Denkmal,637
Q350895,Wüstung,633
Q3044808,Nebengebäude,613
Q13406463,Wikimedia-Liste,608
Q3257686,Ortschaft,608
Q41253,Kino,600
Q355304,Fließgewässer,566
Q15303838,Sitz der Gemeindeverwaltung,565
Q163740,Non-Profit-Organisation,553
Q811534,besonderer Baum,544
Q8502,Berg,531
Q317557,Pfarrkirche,520
Q847017,Sportverein,519
Q1499928,Gemarkung,517
Q24354,Theatergebäude,508
Q820477,Bergwerk,507
Q5526694,Gasthaus,503
Q16917,Krankenhaus,497
Q43483,Brunnen,482
Q43229,Organisation,481
Q1497375,Gebäude-Ensemble,467
Q2463705,Europäisches Vogelschutzgebiet,463
Q173387,Grab,457
Q483453,Zierbrunnen,456
Q2742167,religiöse Gemeinschaft,441
Q476028,Fußballverein,440
Q108325,Kapelle,431
Q11691318,Kulturdenkmal in Deutschland,408
Q1498804,Mehrfamilienwohnhaus,404
Q31855,Forschungseinrichtung,403
Q100341898,Markt in Deutschland,383
Q2143825,Wanderweg,381
Q47521,Bach,381
Q1542966,Gymnasium,353
Q4830453,Gewerbebetrieb,348
Q10354598,Ländliche Siedlung,341
Q4421,Wald,339
Q54050,Hügel,337
Q15725618,Verwaltungsgemeinschaft in Bayern,331
Q1021645,Bürogebäude,328
Q672070,Fotostudio,328
Q3957,Kleinstadt,318
Q106505070,Siedlung frühgeschichtlicher Zeitstellung,317
Q751876,Schloss,316
Q956214,Hauptort,311
Q478847,Amt,305
Q2983893,Stadtteil,301
Q721747,Gedenktafel,299
Q796174,Gebiet von gemeinschaftlicher Bedeutung,296
Q12020836,Fachwerkhaus,291
Q23413,Burg,280
Q60534895,vorgeschlagenes Gebiet von gemeinschaftlicher Bedeutung,280
Q9842,Grundschule,280
Q134626,Kreisstadt,262
Q12731,Sackgasse,256
Q575759,Kriegerdenkmal,255
Q655686,Geschäftshaus,250
Q15974311,gemeindefreies Gebiet in Deutschland,249
Q573607,Finanzamt,246
Q12518,Turm,240
Q1080794,Schule in öffentlicher Trägerschaft,239
Q179700,Statue,235
Q106577963,Vorgängerbau,232
Q48204,Freiwilligen-Verein,232
Q1970725,Naturraum,231
Q2740635,Stadtbezirk in Deutschland,225
Q607241,Pfarrhaus,225
Q2282602,Siedlung,223
Q11183787,Ortschaft,220
Q47345468,Tennisturnier-Auflage,219
Q4287745,Gesundheitsorganisation,218
Q12284,Kanal,217
Q1303167,Scheune,217
Q1307276,Einfamilienwohnhaus,215
Q15145593,Straßenbahnlinie,212
Q166118,Archiv,206
Q131263,Kaserne,204
Q1518285,Geschützter Landschaftsbestandteil,199
Q839954,archäologische Stätte,195
Q4632675,Wohnplatz,193
Q55043,Gymnasium,192
Q1365560,Fachhochschule (Deutschland),189
Q34023,Hügelgrab,185
Q2385804,Bildungseinrichtung,183
Q846659,jüdischer Friedhof,180
Q57821,Befestigung,175
Q953806,Bushaltestelle,174
Q13405588,Fernwanderweg,172
Q1068842,Fußgängerbrücke,170
Q3240003,Buslinie,168
Q66817267,Körpergrab,168
Q16748868,Stadtmauer,167
Q13226383,Anlage,166
Q163301,Ortsbezirk,164
Q875538,staatliche Universität,163
Q358,Kulturdenkmal,163
Q1154710,Fußballstadion,161
Q543654,Rathaus,161
Q1210334,Eisenbahnbrücke,160
Q27996460,Haltepunkt,158
Q5003624,Gedenkstätte,157
Q152081,Konzentrationslager,157
Q618123,geographisches Objekt,155
Q1561418,vereinbarte Verwaltungsgemeinschaft,155
Q353070,Anschlussstelle,153
Q6881511,Unternehmen,152
Q1021106,Bürgerhaus,151
Q11315,Einkaufszentrum,148
Q157031,Stiftung,148
Q447523,Samtgemeinde,147
Q207694,Kunstmuseum,147
Q1763828,Mehrzweckhalle,146
Q1007870,Kunstgalerie,146
Q281460,Orgel,145
Q2085381,Verlag,142
Q55678,Haltepunkt/Haltestelle,141
Q274153,Wasserturm,140
Q54935786,Mittlere kreisangehörige Stadt,139
Q16823155,Schloss,139
Q3917681,Botschaft,139
Q879050,Herrenhaus,138
Q353027,Radwanderweg,138
Q83405,Fabrik,137
Q18674739,Veranstaltungsort,137
Q11707,Restaurant,137
Q1622062,Hochschulbibliothek,136
Q98141338,Gartentor,135
Q18226756,Landtagswahlkreis,135
Q707813,Hansestadt,134
Q22808403,unterirdische Haltestelle,134
Q12280,Brücke,133
Q18142,Hochhaus,132
Q276173,Pavillon,131
Q11703715,Bundestagswahlkreis,128
Q34627,Synagoge,125
Q131734,Brauerei,125
Q1107656,Garten,124
Q174814,Umspann- oder Schaltanlage,123
Q1669338,Ortslage,122
Q3253281,Teich,121
Q185187,Wassermühle,121
Q82117,Stadttor,121
Q921099,Grenzmarkierung,120
Q23006,Verbandsgemeinde,120
Q245117,Relief,119
Q3238851,Hauptbahn,118
Q1329623,Kulturzentrum,117
Q192810,Graben,115
Q15900779,Bannwald,115
Q41762994,Gemeindeverwaltungsverband in Baden-Württemberg,114
Q17540983,Freilandstation,113
Q988108,Verein,110
Q158438,Bogenbrücke,110
Q131681,Stausee,108
Q14551995,Waldorfschule,108
Q517820,Remise,108
Q2376564,Autobahnkreuz,106
Q40211238,Kirchhofsmauer,106
Q106492558,Siedlung vorgeschichtlicher Zeitstellung,105
Q47174074,Standesamtsbezirk,104
Q1793804,S-Bahn-Station,104
Q107425,Landschaft,104
Q1129743,Filialkirche,101
Q192611,Wahlkreis,101
Q17055024,Standesamt,101
Q1497364,Gebäudekomplex,101
Q868557,Musikfestival,100
Q42948,Mauer,99
Q14455864,Verwaltungsgemeinschaft in Sachsen,98
Q28538792,statistischer Bezirk von Nürnberg,98
Q357685,stillgelegte Bahntrasse,98
Q63565252,Bach,96
Q6882870,Heilbad,96
Q56055312,Grabmal,96
Q2326815,Stadtbibliothek,94
Q1399033,Statio,94
Q1015644,Burgstall,94
Q215380,Band,91
Q22808404,oberirdische Haltestelle,91
Q372363,Geotop,91
Q64578911,ehemaliges Krankenhaus,91
Q116621859,Große Kreisstadt in Baden-Württemberg,91
Q1060829,Konzerthaus,89
Q480477,Amtsgericht,89
Q12661150,Bildstock,89
Q1371789,Ferienhaus,89
Q105731,Schiffsschleuse,88
Q39816,Tal,88
Q15640053,Straßenbahnsystem,88
Q3395121,Bildstock,87
Q1076486,Sportstätte,86
Q12042110,Stahlbrücke,86
Q27996466,Bahnhof,86
Q1311958,Eisenbahntunnel,85
Q256020,Gasthof,85
Q15284,Gemeinde,85
Q53060,Tor,84
Q4946461,Kurort,81
Q106491386,Freilandstation des Mesolithikums,81
Q1440300,Aussichtsturm,81
Q44494,Mühle,80
Q79423884,Stadtteil von Leipzig,80
Q448801,Große Kreisstadt,79
Q43501,Zoo,78
