wikidata_id,instance_of,admin_unit,area,capital,coordinates,population,subdivision,flag_info,flag_image,coat_of_arms_info,coat_of_arms_image,map_image,insignia,postal_code,first_written_record,inception,abolition,partner_cities,gnd,geonames_id,openstreetmap_rel_id,openstreetmap_node_id,district_key,municipality_key,regional_key,label_de,label_en,label_fr,desc_de,desc_en,desc_fr,sitelink_de,sitelink_en,sitelink_fr,bundesland,landkreis,type
Q1516778,Q15725618,Q10458,,,Point(9.815 49.7994),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Hettstadt%20in%20W%C3%9C.svg,,,,,,,,,2982908,,,,096795655,Verwaltungsgemeinschaft Hettstadt,Verwaltungsgemeinschaft Hettstadt,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Hettstadt,,,Bayern,Landkreis Würzburg,None
Q2519400,Q15725618,Q10458,,,Point(10.0667 49.55),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Aub%20in%20W%C3%9C.svg,,,,,,,,,2982952,,,,096795644,Verwaltungsgemeinschaft Aub,Verwaltungsgemeinschaft Aub,,Verwaltungsgemeinschaft in Bayern,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Aub,,,Bayern,Landkreis Würzburg,None
Q2519557,Q15725618,Q10458,34,Q481834,Point(10.0 49.7333),7394 (2015-06-30T00:00:00Z),,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20von%20Eibelstadt.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Eibelstadt%20in%20W%C3%9C.svg,"WÜ, OCH",97246,,1978-05-01T00:00:00Z,,,,,2982964,,,,096795646,Verwaltungsgemeinschaft Eibelstadt,Verwaltungsgemeinschaft Eibelstadt,,Verwaltungsgemeinschaft in Bayern,administrative community of Bavaria,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Eibelstadt,,,Bayern,Landkreis Würzburg,None
Q2519647,Q15725618,Q10458,84,Q536433,Point(9.9478 49.6542),6582 (2014-12-31T00:00:00Z),,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20von%20Giebelstadt.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Giebelstadt%20in%20W%C3%9C.svg,"WÜ, OCH",97232,,,,,,,2982953,,,,096795648,Verwaltungsgemeinschaft Giebelstadt,Gemeindeverband Giebelstadt,,Verwaltungsgemeinschaft in Bayern,administrative community of Bavaria,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Giebelstadt,,,Bayern,Landkreis Würzburg,None
Q2519795,Q15725618,Q10458,,,Point(9.8667 49.65),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Kirchheim%20%28Unterfranken%29%20in%20W%C3%9C.svg,,,,,,,,,2982954,,,,096795650,Verwaltungsgemeinschaft Kirchheim,Verwaltungsgemeinschaft Kirchheim,,Verwaltungsgemeinschaft in Unterfranken,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Kirchheim_(Unterfranken),,,Bayern,Landkreis Würzburg,None
Q2805737,Q15725618,Q10458,,,Point(9.8439 49.7428),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Kist%20in%20W%C3%9C.svg,,,,,,,,,2982798,,,,096795651,Verwaltungsgemeinschaft Kist,Verwaltungsgemeinschaft Kist,,Verwaltungsgemeinschaft in Bayern,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Kist,,,Bayern,Landkreis Würzburg,None
Q734124,Q15725618,Q10459,,,Point(10.3431 49.7944),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Wiesentheid%20in%20KT.svg,,,,,,,,,2986729,,,,096755614,Verwaltungsgemeinschaft Wiesentheid,Verwaltungsgemeinschaft Wiesentheid,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Wiesentheid,,,Bayern,Landkreis Kitzingen,None
Q2519777,Q15725618,Q10459,,,Point(10.2603 49.7047),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Iphofen%20in%20KT.svg,,,,,,,,,2986726,,,,096755616,Verwaltungsgemeinschaft Iphofen,Verwaltungsgemeinschaft Iphofen,,Verwaltungsgemeinschaft in Bayern,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Iphofen,,,Bayern,Landkreis Kitzingen,None
Q2519908,Q15725618,Q10459,,,Point(10.1436 49.6669),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Marktbreit%20in%20KT.svg,,,,,,,,,2986728,,,,096755618,Verwaltungsgemeinschaft Marktbreit,Verwaltungsgemeinschaft Marktbreit,,Verwaltungsgemeinschaft in Bayern,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Marktbreit,,,Bayern,Landkreis Kitzingen,None
Q1363960,Q15725618,Q10462,,,Point(10.8 50.0833),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Ebern%20in%20HAS.svg,,,,,,,,,2989274,,,,096745611,Verwaltungsgemeinschaft Ebern,Administrative community Ebern,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Ebern,,,Bayern,Landkreis Haßberge,None
Q1757157,Q15725618,Q10462,,,Point(10.6833 49.9833),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Ebelsbach%20in%20HAS.svg,,,,,,,,,2989273,,,,096745610,Verwaltungsgemeinschaft Ebelsbach,Verwaltungsgemeinschaft Ebelsbach,,Verwaltungsgemeinschaft in Bayern,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Ebelsbach,,,Bayern,Landkreis Haßberge,None
Q1229578,Q15725618,Q10461,,,Point(10.35 49.9),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Gerolzhofen%20in%20SW.svg,,,,,,,,,2989276,,,,096785642,Verwaltungsgemeinschaft Gerolzhofen,Verwaltungsgemeinschaft Gerolzhofen,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Gerolzhofen,,,Bayern,Landkreis Schweinfurt,None
Q915515,Q15725618,Q10466,,,Point(9.8 50.2833),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Bad%20Br%C3%BCckenau%20in%20KG.svg,,,,,,,,,2984905,,,,096725606,Verwaltungsgemeinschaft Bad Brückenau,Verwaltungsgemeinschaft Bad Brückenau,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Bad_Br%C3%BCckenau,,,Bayern,Landkreis Bad Kissingen,None
Q1292468,Q15725618,Q10466,,,Point(10.2833 50.1833),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Ma%C3%9Fbach%20in%20KG.svg,,,,,,,,,2984908,,,,096725609,Verwaltungsgemeinschaft Maßbach,Verwaltungsgemeinschaft Maßbach,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Ma%C3%9Fbach,,,Bayern,Landkreis Bad Kissingen,None
Q1649659,Q15725618,Q10466,,,Point(10.0333 50.15),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Euerdorf%20in%20KG.svg,,,,,,,,,2984907,,,,096725608,Verwaltungsgemeinschaft Euerdorf,Verwaltungsgemeinschaft Euerdorf,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Euerdorf,,,Bayern,Landkreis Bad Kissingen,None
Q238783,Q15725618,Q10465,,,Point(10.4675 50.29888889),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Bad%20K%C3%B6nigshofen%20im%20Grabfeld%20in%20NES.svg,,,,,,,,,2981897,,,,096735634,Verwaltungsgemeinschaft Bad Königshofen im Grabfeld,Verwaltungsgemeinschaft Bad Königshofen im Grabfeld,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Bad_K%C3%B6nigshofen_im_Grabfeld,,,Bayern,Landkreis Rhön-Grabfeld,None
Q1645425,Q15725618,Q10465,,,Point(10.14527778 50.52111111),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Fladungen%20in%20NES.svg,,,,,,,,,2981899,,,,096735637,Verwaltungsgemeinschaft Fladungen,Verwaltungsgemeinschaft Fladungen,,Verwaltungsgemeinschaft in Bayern,administrative community,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Fladungen,,,Bayern,Landkreis Rhön-Grabfeld,None
Q2519424,Q15725618,Q10465,,,Point(10.2167 50.3333),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Bad%20Neustadt%20an%20der%20Saale%20in%20NES.svg,,,,,,,,,2981898,,,,096735635,Verwaltungsgemeinschaft Bad Neustadt an der Saale,Verwaltungsgemeinschaft Bad Neustadt an der Saale,,Verwaltungsgemeinschaft in Bayern,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Bad_Neustadt_an_der_Saale,,,Bayern,Landkreis Rhön-Grabfeld,None
Q2519923,Q15725618,Q10465,,,Point(10.30295 50.43016),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Verwaltungsgemeinschaft%20Mellrichstadt%20in%20NES.svg,,,,,,,1098457455,,2989299,,,,096735633,Verwaltungsgemeinschaft Mellrichstadt,Verwaltungsgemeinschaft Mellrichstadt,,Verwaltungsgemeinschaft in Bayern,,,https://de.wikipedia.org/wiki/Verwaltungsgemeinschaft_Mellrichstadt,,,Bayern,Landkreis Rhön-Grabfeld,None
